Price,Close,High,Low,Open,Volume
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD
Date,,,,,
2017-05-10,5.571304798126221,6.251629303825285,5.466498127675204,6.251629303825285,94600
2017-05-11,5.93360710144043,5.944698210212375,5.563912289928499,5.563912289928499,30200
2017-05-12,5.693305492401123,5.892940870639376,5.685911772316857,5.885547150555109,6400
2017-05-15,5.73397159576416,5.777225788105518,5.7177047786318305,5.7177047786318305,18800
2017-05-16,5.745062351226807,5.796819796758131,5.689608222318695,5.689608222318695,14400
2017-05-17,5.804214000701904,5.878152962942488,5.456700701886772,5.730275038461321,25800
2017-05-18,6.04081916809082,6.417908412838736,5.767244825372993,5.767244825372993,12400
2017-05-19,6.284817218780518,6.358756526938818,5.911425052342351,6.014939942736472,17000
2017-05-22,6.236757755279541,6.395726084206317,5.966879748428701,6.166515476361851,23000
2017-05-23,6.0149407386779785,6.111061569948189,5.9225169438186525,6.092576387893767,7600
2017-05-24,5.774637699127197,6.011242701501283,5.774637699127197,6.011242701501283,12400
2017-05-25,5.896637439727783,5.896637439727783,5.8042136543008,5.8042136543008,11800
2017-05-26,5.915121555328369,6.1184535767378065,5.804212955652218,5.952091206076659,18200
2017-05-30,5.959486961364746,6.212727977077967,5.959486961364746,6.212727977077967,1600
2017-05-31,6.000151634216309,6.155423612973176,5.959485650470152,6.155423612973176,9600
2017-06-01,5.85597038269043,6.273725531312266,5.811607013435953,6.273725531312266,25000
2017-06-02,5.674820423126221,6.005697735843154,5.674820423126221,5.863364672689952,53400
2017-06-05,5.660033226013184,6.255242324700536,5.637851360611657,5.73027515340857,35800
2017-06-06,5.637851715087891,5.652639508762418,5.637851715087891,5.637851715087891,4000
2017-06-07,5.619366645812988,5.822699064614886,5.575003266676559,5.822699064614886,24200
2017-06-08,5.674820423126221,5.759850134341605,5.626760013608014,5.626760013608014,3600
2017-06-09,6.009392738342285,6.114756476508928,5.6378495226817265,5.6378495226817265,20800
2017-06-12,6.173908233642578,6.236756426624716,5.582395953540833,5.737667918253323,51400
2017-06-13,6.214575290679932,6.42899845004782,6.1702122674383215,6.266333091311863,21000
2017-06-14,6.203485012054443,6.281120656855583,6.201266649306539,6.281120656855583,4000
2017-06-15,6.107363700866699,6.192393411311408,6.1036666649598645,6.12215113935654,5200
2017-06-16,5.915121555328369,6.227513658619671,5.915121555328369,6.227513658619671,55600
2017-06-19,6.14802885055542,6.14802885055542,5.730273721746609,5.9705753819536636,51000
2017-06-20,5.796819686889648,6.205702123819323,5.793122651014177,5.937303524470076,58000
2017-06-21,5.859667778015137,5.907727833231516,5.71548655465978,5.7302743453191445,40200
2017-06-22,5.660033226013184,5.854492894519538,5.660033226013184,5.767244811554851,33600
2017-06-23,5.700698375701904,5.9151215019417975,5.656335006745587,5.859667378888579,85600
2017-06-26,5.767245292663574,6.036382931528531,5.722881558159659,5.86928117688494,54800
2017-06-27,5.715487480163574,5.885547276568265,5.715487480163574,5.785729409027583,19600
2017-06-28,5.737669467926025,5.874456644723208,5.678517941884796,5.682214978369024,19800
2017-06-29,6.007546424865723,6.0851820709671856,5.763547672636028,5.767244708898607,39800
2017-06-30,6.058193206787109,6.251544006813304,6.051909021968441,6.2404529001018085,13800
